iter	RMSE
0	13.41770941
1	10.94284023
2	8.967117785
3	7.501848546
4	6.489139664
5	5.71683802
6	5.135561824
7	4.678384235
8	4.353611088
9	4.029956356
10	3.856892793
11	3.73819678
12	3.61159544
13	3.480536951
14	3.372919196
15	3.286077844
16	3.232064071
17	3.152765366
18	3.091536076
19	3.02240295
20	2.975753198
21	2.938290899
22	2.899487707
23	2.85919548
24	2.801230471
25	2.754649532
26	2.703331527
27	2.677406489
28	2.636702377
29	2.57446483
30	2.523538631
31	2.494191444
32	2.433800988
33	2.395754661
34	2.369050591
35	2.322448844
36	2.304542334
37	2.290709692
38	2.247276256
39	2.209474493
40	2.165999032
41	2.134373081
42	2.103359227
43	2.086399407
44	2.070389927
45	2.032534331
46	1.995416364
47	1.962130319
48	1.946170121
49	1.928615798
50	1.911288236
51	1.903174164
52	1.899394851
53	1.867846375
54	1.862377974
55	1.845042186
56	1.806521805
57	1.779044249
58	1.754605216
59	1.74773108
60	1.733432728
61	1.71644307
62	1.712797728
63	1.685282606
64	1.663552528
65	1.64536426
66	1.615500092
67	1.593116197
68	1.572658136
69	1.559398952
70	1.543123464
71	1.538772525
72	1.524493563
73	1.511686505
74	1.505663778
75	1.489273706
76	1.475358477
77	1.466714026
78	1.457177235
79	1.444860126
80	1.425586953
81	1.402815399
82	1.395596573
83	1.384846752
84	1.370740838
85	1.354153474
86	1.34349559
87	1.32488222
88	1.31615358
89	1.301825418
90	1.296128608
91	1.278684895
92	1.277150669
93	1.262603087
94	1.257467169
95	1.252155414
96	1.24126483
97	1.227079782
98	1.207277388
99	1.193798335
