iter	Passed	Remaining
0	1	118
1	2	112
2	3	108
3	4	107
4	5	104
5	6	102
6	7	100
7	8	97
8	9	95
9	10	93
10	11	92
11	12	91
12	13	89
13	14	87
14	15	86
15	16	84
16	17	83
17	17	81
18	18	80
19	19	79
20	20	78
21	21	77
22	22	76
23	23	75
24	24	74
25	25	73
26	26	72
27	27	71
28	28	69
29	29	68
30	30	68
31	31	66
32	32	66
33	33	65
34	34	64
35	35	63
36	36	62
37	37	61
38	38	60
39	39	59
40	40	58
41	41	57
42	42	56
43	43	55
44	44	54
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	50	48
51	51	47
52	52	46
53	53	45
54	54	44
55	55	43
56	56	42
57	57	41
58	58	40
59	59	39
60	60	38
61	61	37
62	62	36
63	63	35
64	64	34
65	65	33
66	66	32
67	67	31
68	68	30
69	69	29
70	70	28
71	71	27
72	72	26
73	73	25
74	74	24
75	75	23
76	76	22
77	77	21
78	78	20
79	79	19
80	80	18
81	81	17
82	83	17
83	83	15
84	84	14
85	85	13
86	86	12
87	87	11
88	88	10
89	90	10
90	91	9
91	92	8
92	93	7
93	94	6
94	94	4
95	95	3
96	96	2
97	98	2
98	99	1
99	100	0
